"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"T1/2";"'='";"1.7";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL2064948";"Distribution half life in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"1.7"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"F";"'='";"31.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2064950";"Oral bioavailability in mouse at 10 mg/kg";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"31.0"
"CHEMBL2063444";"";"None";"435.87";"0";"4.64";"2h";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(Cl)cc4)c3)c12";"Ratio IC50";"'='";"55.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"55.0"
"CHEMBL2063454";"";"None";"453.47";"0";"4.73";"3c";"Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"16.41";"0.32";"2.71";"6.82";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"36.0"
"CHEMBL2063467";"";"None";"393.43";"0";"3.27";"5j";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"19.75";"0.38";"4.50";"6.14";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"17.0"
"CHEMBL2063462";"";"None";"419.42";"0";"3.02";"5d";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"20.02";"0.37";"5.38";"6.64";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"4.0"
"CHEMBL2063446";"";"None";"419.42";"0";"4.12";"2j";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"Vd";"'='";"0.54";"L.kg-1";"";"";"";"UO_0000197";"";"";"";"";"0";"CHEMBL2064946";"Volume of distribution in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.54"
"CHEMBL2063447";"";"None";"469.42";"1";"5.00";"2k";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"Vd";"'='";"0.23";"L.kg-1";"";"";"";"UO_0000197";"";"";"";"";"0";"CHEMBL2064946";"Volume of distribution in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.23"
"CHEMBL2063445";"";"None";"419.42";"0";"4.12";"2i";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4F)c3)c12";"EC15";"'='";"124.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"124.0"
"CHEMBL2063465";"";"None";"405.39";"0";"3.35";"5h";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12";"IC50";"'='";"88.0";"nM";"7.06";"";"";"UO_0000065";"17.40";"0.32";"3.71";"5.58";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"88.0"
