canonical_smiles,tox_binary,assay_hits,assay_tested,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,pIC50,IC50_nM,logP,qed,SAS,toxicity_class
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,1,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.833,0.0,2.6177,0.7617384584160001,2.8931198359725503,1
CCN1C(=O)NC(c2ccccc2)C1=O,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
CC(O)(P(=O)(O)O)P(=O)(O)O,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
O=S(=O)(Cl)c1ccccc1,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,1,4,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.667,0.0,2.6177,0.7617384584160001,2.8931198359725503,2
OC[C@@H](O)[C@H](O)[C@@H](O)CO,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6177,0.7617384584160001,2.8931198359725503,0
